timestamp,wind_speed_kmh,wind_gust_kmh,pressure_hpa,pressure_tendency_hpa_hr,rainfall_mm_hr
2025-01-01 00:00:00,14.5,17.5,1013.01,0.0,0.0
2025-01-01 01:00:00,11.4,16.5,1013.01,0.0,0.0
2025-01-01 02:00:00,15.3,20.2,1013.01,0.0,0.0
2025-01-01 03:00:00,19.7,20.0,1013.01,0.0,0.0
2025-01-01 04:00:00,10.9,13.1,1013.02,0.0,0.0
2025-01-01 05:00:00,10.9,14.2,1013.02,-0.0,0.0
2025-01-01 06:00:00,19.9,21.0,1013.02,-0.0,0.0
2025-01-01 07:00:00,15.9,21.0,1013.02,0.0,0.0
2025-01-01 08:00:00,9.7,14.0,1013.03,0.01,2.08
2025-01-01 09:00:00,14.8,14.8,1013.03,-0.01,0.0
2025-01-01 10:00:00,9.7,15.9,1013.03,-0.0,0.0
2025-01-01 11:00:00,9.7,16.8,1013.02,-0.01,0.0
2025-01-01 12:00:00,13.3,19.0,1013.03,0.01,0.0
2025-01-01 13:00:00,2.5,6.5,1013.02,-0.0,0.0
2025-01-01 14:00:00,3.4,10.2,1013.02,-0.01,0.0
2025-01-01 15:00:00,9.2,16.2,1013.02,0.0,0.0
2025-01-01 16:00:00,7.0,12.9,1013.03,0.01,0.0
2025-01-01 17:00:00,13.6,16.1,1013.03,0.0,0.0
2025-01-01 18:00:00,7.5,13.3,1013.03,0.0,0.0
2025-01-01 19:00:00,5.0,13.6,1013.04,0.0,0.9
2025-01-01 20:00:00,19.4,22.6,1013.04,0.01,0.0
2025-01-01 21:00:00,10.9,22.2,1013.04,-0.0,0.0
2025-01-01 22:00:00,12.4,15.8,1013.04,-0.0,0.0
2025-01-01 23:00:00,4.9,10.0,1013.04,-0.0,0.0
2025-01-02 00:00:00,9.4,12.4,1013.03,-0.01,0.0
2025-01-02 01:00:00,12.7,18.4,1013.03,-0.0,0.0
2025-01-02 02:00:00,6.3,6.5,1013.03,0.01,0.0
2025-01-02 03:00:00,14.0,17.4,1013.04,0.0,0.0
2025-01-02 04:00:00,9.1,10.8,1013.04,0.0,0.0
2025-01-02 05:00:00,10.6,16.0,1013.04,0.0,0.0
2025-01-02 06:00:00,9.1,17.1,1013.04,0.0,0.0
2025-01-02 07:00:00,21.4,28.3,1013.04,-0.0,0.0
2025-01-02 08:00:00,12.0,14.1,1013.04,-0.0,0.0
2025-01-02 09:00:00,6.8,17.9,1013.04,0.0,0.0
2025-01-02 10:00:00,16.2,22.1,1013.04,0.0,0.0
2025-01-02 11:00:00,6.0,8.7,1013.04,0.0,0.0
2025-01-02 12:00:00,13.1,18.6,1013.04,-0.0,0.0
2025-01-02 13:00:00,2.3,7.8,1013.04,-0.0,0.0
